ID                                        0x3ef
Delivery_person_ID             RANCHIRES13DEL01
Delivery_person_Age                   50.000000
Delivery_person_Ratings                6.000000
Restaurant_latitude                  -23.374989
Restaurant_longitude                 -85.335486
Delivery_location_latitude            23.444989
Delivery_location_longitude           85.405486
Order_Date                           20-03-2022
Time_Orderd                                 NaN
Time_Order_picked                         17:55
Weather conditions                          NaN
Road_traffic_density                        NaN
Vehicle_condition                             3
Type_of_order                             Snack
Type_of_vehicle                         bicycle
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      32.000000
Name: 1858, dtype: object
