ID                                     0xb6cb
Delivery_person_ID             PUNERES04DEL02
Delivery_person_Age                 35.000000
Delivery_person_Ratings              4.500000
Restaurant_latitude                 18.514210
Restaurant_longitude                73.838429
Delivery_location_latitude          18.534210
Delivery_location_longitude         73.858429
Order_Date                         07-03-2022
Time_Orderd                             11:20
Time_Order_picked                       11:25
Weather conditions                      Sunny
Road_traffic_density                     High
Vehicle_condition                           1
Type_of_order                            Meal
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    24.000000
Name: 26440, dtype: object
