ID                                    0xdbb7
Delivery_person_ID             GOARES14DEL02
Delivery_person_Age                28.000000
Delivery_person_Ratings             5.000000
Restaurant_latitude                15.157944
Restaurant_longitude               73.950889
Delivery_location_latitude         15.177944
Delivery_location_longitude        73.970889
Order_Date                        17-02-2022
Time_Orderd                             8:55
Time_Order_picked                       8:60
Weather conditions                       Fog
Road_traffic_density                     Low
Vehicle_condition                          2
Type_of_order                         Drinks
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   16.000000
Name: 28949, dtype: object
