ID                                       0xe0c7
Delivery_person_ID                KOCRES15DEL02
Delivery_person_Age                   26.000000
Delivery_person_Ratings                4.100000
Restaurant_latitude                   10.027364
Restaurant_longitude                  76.308258
Delivery_location_latitude            10.157364
Delivery_location_longitude           76.438258
Order_Date                           18-02-2022
Time_Orderd                               21:35
Time_Order_picked                         21:40
Weather conditions                       Cloudy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                         NaN
Festival                                     No
City                              Metropolitian
Time_taken (min)                      40.000000
Name: 906, dtype: object
