ID                                        0x527a
Delivery_person_ID             RANCHIRES010DEL02
Delivery_person_Age                    35.000000
Delivery_person_Ratings                 4.900000
Restaurant_latitude                    23.354422
Restaurant_longitude                   85.332900
Delivery_location_latitude             23.484422
Delivery_location_longitude            85.462900
Order_Date                            25-03-2022
Time_Orderd                                23:40
Time_Order_picked                          23:45
Weather conditions                    Sandstorms
Road_traffic_density                         Low
Vehicle_condition                              0
Type_of_order                              Snack
Type_of_vehicle                       motorcycle
multiple_deliveries                     1.000000
Festival                                      No
City                               Metropolitian
Time_taken (min)                       23.000000
Name: 26902, dtype: object
