ID                                    0xc9f0
Delivery_person_ID             GOARES14DEL01
Delivery_person_Age                28.000000
Delivery_person_Ratings             4.800000
Restaurant_latitude                15.157944
Restaurant_longitude               73.950889
Delivery_location_latitude         15.197944
Delivery_location_longitude        73.990889
Order_Date                        11-02-2022
Time_Orderd                            14:10
Time_Order_picked                      14:15
Weather conditions                    Cloudy
Road_traffic_density                    High
Vehicle_condition                          0
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   29.000000
Name: 25723, dtype: object
