ID                                       0x99a0
Delivery_person_ID             RANCHIRES12DEL02
Delivery_person_Age                       24.00
Delivery_person_Ratings                    4.30
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.13
Delivery_location_longitude                0.13
Order_Date                           27-03-2022
Time_Orderd                               21:25
Time_Order_picked                         21:40
Weather conditions                       Cloudy
Road_traffic_density                        Jam
Vehicle_condition                             1
Type_of_order                            Buffet
Type_of_vehicle                         scooter
multiple_deliveries                        2.00
Festival                                    Yes
City                              Metropolitian
Time_taken (min)                          40.00
Name: 44409, dtype: object
