ID                                       0x4ca0
Delivery_person_ID             RANCHIRES14DEL03
Delivery_person_Age                       25.00
Delivery_person_Ratings                    4.90
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.03
Delivery_location_longitude                0.03
Order_Date                           24-03-2022
Time_Orderd                               20:60
Time_Order_picked                         21:10
Weather conditions                       Stormy
Road_traffic_density                        Jam
Vehicle_condition                             0
Type_of_order                              Meal
Type_of_vehicle                      motorcycle
multiple_deliveries                        1.00
Festival                                     No
City                              Metropolitian
Time_taken (min)                          29.00
Name: 21840, dtype: object
