ID                                       0x2a8d
Delivery_person_ID             RANCHIRES03DEL01
Delivery_person_Age                       33.00
Delivery_person_Ratings                    4.90
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.01
Delivery_location_longitude                0.01
Order_Date                           28-03-2022
Time_Orderd                                8:40
Time_Order_picked                          8:45
Weather conditions                        Sunny
Road_traffic_density                        Low
Vehicle_condition                             0
Type_of_order                             Snack
Type_of_vehicle                      motorcycle
multiple_deliveries                        1.00
Festival                                     No
City                              Metropolitian
Time_taken (min)                          22.00
Name: 13710, dtype: object
