ID                                       0x6e1f
Delivery_person_ID                MUMRES08DEL03
Delivery_person_Age                   38.000000
Delivery_person_Ratings                5.000000
Restaurant_latitude                   19.065838
Restaurant_longitude                  72.832658
Delivery_location_latitude            19.095838
Delivery_location_longitude           72.862658
Order_Date                           01-04-2022
Time_Orderd                               19:15
Time_Order_picked                         19:30
Weather conditions                          Fog
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      30.000000
Name: 1706, dtype: object
