ID                                      0xd7e6
Delivery_person_ID             AURGRES010DEL02
Delivery_person_Age                  28.000000
Delivery_person_Ratings               4.800000
Restaurant_latitude                  19.875337
Restaurant_longitude                 75.316722
Delivery_location_latitude           19.925337
Delivery_location_longitude          75.366722
Order_Date                          15-02-2022
Time_Orderd                              21:10
Time_Order_picked                        21:20
Weather conditions                  Sandstorms
Road_traffic_density                       Jam
Vehicle_condition                            0
Type_of_order                             Meal
Type_of_vehicle                     motorcycle
multiple_deliveries                   0.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     19.000000
Name: 5628, dtype: object
