ID                                      0xa412
Delivery_person_ID             COIMBRES15DEL03
Delivery_person_Age                  20.000000
Delivery_person_Ratings               4.800000
Restaurant_latitude                  11.006686
Restaurant_longitude                 76.951736
Delivery_location_latitude           11.036686
Delivery_location_longitude          76.981736
Order_Date                          03-03-2022
Time_Orderd                              23:20
Time_Order_picked                        23:35
Weather conditions                      Stormy
Road_traffic_density                       Low
Vehicle_condition                            2
Type_of_order                            Snack
Type_of_vehicle                     motorcycle
multiple_deliveries                   0.000000
Festival                                    No
City                                     Urban
Time_taken (min)                     15.000000
Name: 34779, dtype: object
