ID                                     0x9ea5
Delivery_person_ID             INDORES04DEL02
Delivery_person_Age                 31.000000
Delivery_person_Ratings              4.400000
Restaurant_latitude                 22.753659
Restaurant_longitude                75.903365
Delivery_location_latitude          22.803659
Delivery_location_longitude         75.953365
Order_Date                         03-03-2022
Time_Orderd                             22:45
Time_Order_picked                       22:55
Weather conditions                      Windy
Road_traffic_density                      Low
Vehicle_condition                           0
Type_of_order                          Drinks
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    21.000000
Name: 39303, dtype: object
