ID                                     0xd3db
Delivery_person_ID             LUDHRES07DEL03
Delivery_person_Age                     22.00
Delivery_person_Ratings                  4.60
Restaurant_latitude                      0.00
Restaurant_longitude                     0.00
Delivery_location_latitude               0.09
Delivery_location_longitude              0.09
Order_Date                         12-02-2022
Time_Orderd                             18:30
Time_Order_picked                       18:35
Weather conditions                      Windy
Road_traffic_density                   Medium
Vehicle_condition                           2
Type_of_order                          Buffet
Type_of_vehicle                       scooter
multiple_deliveries                      0.00
Festival                                   No
City                            Metropolitian
Time_taken (min)                        15.00
Name: 32481, dtype: object
