ID                                    0xdc14
Delivery_person_ID             KOCRES12DEL02
Delivery_person_Age                20.000000
Delivery_person_Ratings             4.000000
Restaurant_latitude                 9.988483
Restaurant_longitude               76.295211
Delivery_location_latitude         10.038483
Delivery_location_longitude        76.345211
Order_Date                        15-02-2022
Time_Orderd                            20:20
Time_Order_picked                      20:30
Weather conditions                    Stormy
Road_traffic_density                     Jam
Vehicle_condition                          0
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   31.000000
Name: 17584, dtype: object
