ID                                    0x18ab
Delivery_person_ID             VADRES20DEL03
Delivery_person_Age                39.000000
Delivery_person_Ratings             4.100000
Restaurant_latitude                22.311358
Restaurant_longitude               73.164798
Delivery_location_latitude         22.371358
Delivery_location_longitude        73.224798
Order_Date                        19-03-2022
Time_Orderd                            17:55
Time_Order_picked                      18:10
Weather conditions                    Stormy
Road_traffic_density                  Medium
Vehicle_condition                          1
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   34.000000
Name: 28567, dtype: object
