ID                                     0x18ad
Delivery_person_ID             INDORES11DEL03
Delivery_person_Age                 38.000000
Delivery_person_Ratings              4.800000
Restaurant_latitude                 22.751234
Restaurant_longitude                75.889490
Delivery_location_latitude          22.841234
Delivery_location_longitude         75.979490
Order_Date                         10-03-2022
Time_Orderd                             22:10
Time_Order_picked                       22:15
Weather conditions                     Stormy
Road_traffic_density                      Low
Vehicle_condition                           2
Type_of_order                          Drinks
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                                    Urban
Time_taken (min)                    17.000000
Name: 14663, dtype: object
