ID                                      0x4ef5
Delivery_person_ID             COIMBRES05DEL03
Delivery_person_Age                  38.000000
Delivery_person_Ratings               4.500000
Restaurant_latitude                  11.022169
Restaurant_longitude                 76.999594
Delivery_location_latitude           11.052169
Delivery_location_longitude          77.029594
Order_Date                          11-03-2022
Time_Orderd                              17:45
Time_Order_picked                        17:60
Weather conditions                      Cloudy
Road_traffic_density                    Medium
Vehicle_condition                            1
Type_of_order                            Snack
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     15.000000
Name: 28344, dtype: object
