ID                                    0xb45b
Delivery_person_ID             SURRES07DEL01
Delivery_person_Age                31.000000
Delivery_person_Ratings             5.000000
Restaurant_latitude                21.170798
Restaurant_longitude               72.790489
Delivery_location_latitude         21.180798
Delivery_location_longitude        72.800489
Order_Date                        01-04-2022
Time_Orderd                            11:30
Time_Order_picked                      11:35
Weather conditions                    Stormy
Road_traffic_density                    High
Vehicle_condition                          0
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   32.000000
Name: 24968, dtype: object
