ID                                       0xdac2
Delivery_person_ID               AURGRES12DEL01
Delivery_person_Age                   26.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   19.879631
Restaurant_longitude                  75.323403
Delivery_location_latitude            19.889631
Delivery_location_longitude           75.333403
Order_Date                           13-02-2022
Time_Orderd                                9:45
Time_Order_picked                          9:55
Weather conditions                        Sunny
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      20.000000
Name: 12141, dtype: object
