ID                                       0xcec5
Delivery_person_ID                GOARES20DEL03
Delivery_person_Age                       33.00
Delivery_person_Ratings                    3.60
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.09
Delivery_location_longitude                0.09
Order_Date                           12-02-2022
Time_Orderd                               20:25
Time_Order_picked                         20:35
Weather conditions                        Windy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                        0.00
Festival                                     No
City                              Metropolitian
Time_taken (min)                          36.00
Name: 7178, dtype: object
