ID                                      0x1df8
Delivery_person_ID             COIMBRES01DEL01
Delivery_person_Age                  34.000000
Delivery_person_Ratings               4.900000
Restaurant_latitude                  11.016298
Restaurant_longitude                 76.972076
Delivery_location_latitude           11.026298
Delivery_location_longitude          76.982076
Order_Date                          01-04-2022
Time_Orderd                              10:25
Time_Order_picked                        10:40
Weather conditions                         Fog
Road_traffic_density                       Low
Vehicle_condition                            0
Type_of_order                           Buffet
Type_of_vehicle                     motorcycle
multiple_deliveries                   0.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     24.000000
Name: 17731, dtype: object
