ID                                       0x127a
Delivery_person_ID               CHENRES12DEL02
Delivery_person_Age                   28.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   12.972793
Restaurant_longitude                  80.249982
Delivery_location_latitude            13.102793
Delivery_location_longitude           80.379982
Order_Date                           18-03-2022
Time_Orderd                               23:15
Time_Order_picked                         23:20
Weather conditions                       Stormy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      14.000000
Name: 12626, dtype: object
