ID                                       0xba13
Delivery_person_ID                VADRES14DEL02
Delivery_person_Age                   30.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   22.311603
Restaurant_longitude                  73.165012
Delivery_location_latitude            22.361603
Delivery_location_longitude           73.215012
Order_Date                           01-04-2022
Time_Orderd                               20:45
Time_Order_picked                         20:50
Weather conditions                        Sunny
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      15.000000
Name: 4301, dtype: object
