ID                                    0x8c35
Delivery_person_ID             SURRES09DEL02
Delivery_person_Age                24.000000
Delivery_person_Ratings             4.800000
Restaurant_latitude                21.175975
Restaurant_longitude               72.795503
Delivery_location_latitude         21.305975
Delivery_location_longitude        72.925503
Order_Date                        06-03-2022
Time_Orderd                            18:60
Time_Order_picked                      19:05
Weather conditions                       Fog
Road_traffic_density                  Medium
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                      NaN
Festival                                  No
City                           Metropolitian
Time_taken (min)                   37.000000
Name: 10567, dtype: object
