ID                                       0xdb95
Delivery_person_ID               LUDHRES12DEL02
Delivery_person_Age                   38.000000
Delivery_person_Ratings                4.300000
Restaurant_latitude                   30.893244
Restaurant_longitude                  75.821817
Delivery_location_latitude            30.973244
Delivery_location_longitude           75.901817
Order_Date                           12-02-2022
Time_Orderd                               21:25
Time_Order_picked                         21:35
Weather conditions                   Sandstorms
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    2.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      39.000000
Name: 23334, dtype: object
