ID                                        0x245d
Delivery_person_ID             RANCHIRES010DEL01
Delivery_person_Age                    29.000000
Delivery_person_Ratings                 4.700000
Restaurant_latitude                    23.354422
Restaurant_longitude                   85.332900
Delivery_location_latitude             23.394422
Delivery_location_longitude            85.372900
Order_Date                            01-03-2022
Time_Orderd                                13:15
Time_Order_picked                          13:30
Weather conditions                         Windy
Road_traffic_density                        High
Vehicle_condition                              0
Type_of_order                               Meal
Type_of_vehicle                       motorcycle
multiple_deliveries                     1.000000
Festival                                      No
City                               Metropolitian
Time_taken (min)                       21.000000
Name: 12879, dtype: object
