ID                                       0xbb78
Delivery_person_ID                MUMRES18DEL03
Delivery_person_Age                   33.000000
Delivery_person_Ratings                3.500000
Restaurant_latitude                   19.109300
Restaurant_longitude                  72.825451
Delivery_location_latitude            19.199300
Delivery_location_longitude           72.915451
Order_Date                           23-03-2022
Time_Orderd                               21:20
Time_Order_picked                         21:30
Weather conditions                   Sandstorms
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      40.000000
Name: 16399, dtype: object
