ID                                       0x49c
Delivery_person_ID             COIMBRES14DEL02
Delivery_person_Age                  15.000000
Delivery_person_Ratings               1.000000
Restaurant_latitude                  11.003681
Restaurant_longitude                 76.975525
Delivery_location_latitude           11.133681
Delivery_location_longitude          77.105525
Order_Date                          02-04-2022
Time_Orderd                                NaN
Time_Order_picked                        23:45
Weather conditions                         NaN
Road_traffic_density                       NaN
Vehicle_condition                            3
Type_of_order                             Meal
Type_of_vehicle                        scooter
multiple_deliveries                   0.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     25.000000
Name: 6081, dtype: object
