ID                                        0x8da0
Delivery_person_ID             RANCHIRES010DEL01
Delivery_person_Age                    39.000000
Delivery_person_Ratings                 4.700000
Restaurant_latitude                    23.354422
Restaurant_longitude                   85.332900
Delivery_location_latitude             23.394422
Delivery_location_longitude            85.372900
Order_Date                            28-03-2022
Time_Orderd                                16:20
Time_Order_picked                          16:30
Weather conditions                         Windy
Road_traffic_density                      Medium
Vehicle_condition                              1
Type_of_order                             Drinks
Type_of_vehicle                       motorcycle
multiple_deliveries                     1.000000
Festival                                      No
City                                       Urban
Time_taken (min)                       26.000000
Name: 35240, dtype: object
