ID                                       0xaa53
Delivery_person_ID                JAPRES11DEL01
Delivery_person_Age                   33.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   26.902940
Restaurant_longitude                  75.793007
Delivery_location_latitude            26.912940
Delivery_location_longitude           75.803007
Order_Date                           30-03-2022
Time_Orderd                               10:45
Time_Order_picked                         10:60
Weather conditions                          Fog
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      16.000000
Name: 30385, dtype: object
