ID                                       0xbbf0
Delivery_person_ID              COIMBRES04DEL03
Delivery_person_Age                   36.000000
Delivery_person_Ratings                4.500000
Restaurant_latitude                   11.024839
Restaurant_longitude                  77.007003
Delivery_location_latitude            11.114839
Delivery_location_longitude           77.097003
Order_Date                           02-03-2022
Time_Orderd                               18:30
Time_Order_picked                         18:40
Weather conditions                   Sandstorms
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      27.000000
Name: 3346, dtype: object
