ID                                    0x58cc
Delivery_person_ID             HYDRES18DEL03
Delivery_person_Age                34.000000
Delivery_person_Ratings             4.400000
Restaurant_latitude                17.450851
Restaurant_longitude               78.379347
Delivery_location_latitude         17.510851
Delivery_location_longitude        78.439347
Order_Date                        30-03-2022
Time_Orderd                            20:20
Time_Order_picked                      20:25
Weather conditions                Sandstorms
Road_traffic_density                     Jam
Vehicle_condition                          0
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   35.000000
Name: 44762, dtype: object
