ID                                    0xe263
Delivery_person_ID             KNPRES02DEL02
Delivery_person_Age                31.000000
Delivery_person_Ratings             4.700000
Restaurant_latitude                26.471617
Restaurant_longitude               80.313564
Delivery_location_latitude         26.491617
Delivery_location_longitude        80.333564
Order_Date                        13-02-2022
Time_Orderd                             9:60
Time_Order_picked                      10:05
Weather conditions                     Windy
Road_traffic_density                     Low
Vehicle_condition                          2
Type_of_order                         Buffet
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   26.000000
Name: 11266, dtype: object
