ID                                     0x95fc
Delivery_person_ID             MYSRES010DEL01
Delivery_person_Age                 31.000000
Delivery_person_Ratings              4.900000
Restaurant_latitude                 12.321214
Restaurant_longitude                76.621094
Delivery_location_latitude          12.361214
Delivery_location_longitude         76.661094
Order_Date                         19-03-2022
Time_Orderd                             13:55
Time_Order_picked                       13:60
Weather conditions                      Windy
Road_traffic_density                     High
Vehicle_condition                           0
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    36.000000
Name: 41940, dtype: object
