ID                                       0xa42b
Delivery_person_ID             RANCHIRES17DEL03
Delivery_person_Age                   35.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   23.374878
Restaurant_longitude                  85.335739
Delivery_location_latitude            23.464878
Delivery_location_longitude           85.425739
Order_Date                           31-03-2022
Time_Orderd                               21:40
Time_Order_picked                         21:55
Weather conditions                   Sandstorms
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      27.000000
Name: 21429, dtype: object
