ID                                     0xb75e
Delivery_person_ID             JAPRES010DEL03
Delivery_person_Age                 33.000000
Delivery_person_Ratings              4.200000
Restaurant_latitude                 26.921411
Restaurant_longitude                75.793604
Delivery_location_latitude          27.061411
Delivery_location_longitude         75.933604
Order_Date                         31-03-2022
Time_Orderd                             18:60
Time_Order_picked                       19:15
Weather conditions                      Windy
Road_traffic_density                   Medium
Vehicle_condition                           2
Type_of_order                           Snack
Type_of_vehicle                       scooter
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    34.000000
Name: 26539, dtype: object
