ID                                    0xc0b8
Delivery_person_ID             ALHRES12DEL03
Delivery_person_Age                35.000000
Delivery_person_Ratings             4.300000
Restaurant_latitude               -25.443994
Restaurant_longitude               81.860187
Delivery_location_latitude         25.473994
Delivery_location_longitude        81.890187
Order_Date                        13-02-2022
Time_Orderd                            20:35
Time_Order_picked                      20:45
Weather conditions                     Windy
Road_traffic_density                     Jam
Vehicle_condition                          2
Type_of_order                         Drinks
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   32.000000
Name: 5465, dtype: object
