ID                                       0x189e
Delivery_person_ID               PUNERES05DEL02
Delivery_person_Age                   38.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   18.543626
Restaurant_longitude                  73.905101
Delivery_location_latitude            18.563626
Delivery_location_longitude           73.925101
Order_Date                           26-03-2022
Time_Orderd                                8:20
Time_Order_picked                          8:30
Weather conditions                        Sunny
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      17.000000
Name: 30354, dtype: object
