ID                                     0xda5e
Delivery_person_ID             LUDHRES06DEL02
Delivery_person_Age                 32.000000
Delivery_person_Ratings              4.700000
Restaurant_latitude                 30.895204
Restaurant_longitude                75.822103
Delivery_location_latitude          30.975204
Delivery_location_longitude         75.902103
Order_Date                         16-02-2022
Time_Orderd                             22:10
Time_Order_picked                       22:20
Weather conditions                 Sandstorms
Road_traffic_density                      Low
Vehicle_condition                           1
Type_of_order                            Meal
Type_of_vehicle                    motorcycle
multiple_deliveries                  0.000000
Festival                                   No
City                                    Urban
Time_taken (min)                    22.000000
Name: 42584, dtype: object
