ID                                      0x1adb
Delivery_person_ID             COIMBRES01DEL02
Delivery_person_Age                  33.000000
Delivery_person_Ratings               4.100000
Restaurant_latitude                  11.016298
Restaurant_longitude                 76.972076
Delivery_location_latitude           11.066298
Delivery_location_longitude          77.022076
Order_Date                          03-03-2022
Time_Orderd                              17:55
Time_Order_picked                        18:10
Weather conditions                      Stormy
Road_traffic_density                    Medium
Vehicle_condition                            0
Type_of_order                             Meal
Type_of_vehicle                     motorcycle
multiple_deliveries                   0.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     34.000000
Name: 326, dtype: object
