ID                                     0xc0d8
Delivery_person_ID             LUDHRES14DEL01
Delivery_person_Age                 35.000000
Delivery_person_Ratings              4.900000
Restaurant_latitude                -30.892978
Restaurant_longitude                75.821847
Delivery_location_latitude          30.902978
Delivery_location_longitude         75.831847
Order_Date                         13-02-2022
Time_Orderd                              8:60
Time_Order_picked                        9:10
Weather conditions                      Sunny
Road_traffic_density                      Low
Vehicle_condition                           1
Type_of_order                            Meal
Type_of_vehicle                       scooter
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    11.000000
Name: 42975, dtype: object
