ID                                       0x7adf
Delivery_person_ID               PUNERES02DEL02
Delivery_person_Age                   20.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   18.551440
Restaurant_longitude                  73.804855
Delivery_location_latitude            18.601440
Delivery_location_longitude           73.854855
Order_Date                           24-03-2022
Time_Orderd                               23:55
Time_Order_picked                         24:10
Weather conditions                       Stormy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      15.000000
Name: 16019, dtype: object
