ID                                        0x7f5
Delivery_person_ID                SURRES11DEL02
Delivery_person_Age                   22.000000
Delivery_person_Ratings                4.300000
Restaurant_latitude                   21.157735
Restaurant_longitude                  72.768778
Delivery_location_latitude            21.287735
Delivery_location_longitude           72.898778
Order_Date                           25-03-2022
Time_Orderd                               19:50
Time_Order_picked                         19:55
Weather conditions                          Fog
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      43.000000
Name: 22536, dtype: object
