ID                                       0xcdec
Delivery_person_ID                BHPRES12DEL03
Delivery_person_Age                       32.00
Delivery_person_Ratings                    5.00
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.06
Delivery_location_longitude                0.06
Order_Date                           15-02-2022
Time_Orderd                               22:15
Time_Order_picked                         22:25
Weather conditions                       Cloudy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                        1.00
Festival                                     No
City                              Metropolitian
Time_taken (min)                          15.00
Name: 20083, dtype: object
