ID                                       0xbefd
Delivery_person_ID                KOCRES07DEL01
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                    9.985697
Restaurant_longitude                  76.281128
Delivery_location_latitude            10.025697
Delivery_location_longitude           76.321128
Order_Date                           15-02-2022
Time_Orderd                                 NaN
Time_Order_picked                         16:50
Weather conditions                          NaN
Road_traffic_density                        NaN
Vehicle_condition                             3
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      34.000000
Name: 45022, dtype: object
