ID                                    0x719c
Delivery_person_ID             SURRES16DEL03
Delivery_person_Age                38.000000
Delivery_person_Ratings             4.100000
Restaurant_latitude                21.160437
Restaurant_longitude               72.774209
Delivery_location_latitude         21.220437
Delivery_location_longitude        72.834209
Order_Date                        15-03-2022
Time_Orderd                            20:30
Time_Order_picked                      20:45
Weather conditions                       Fog
Road_traffic_density                     Jam
Vehicle_condition                          1
Type_of_order                         Buffet
Type_of_vehicle                      scooter
multiple_deliveries                      NaN
Festival                                  No
City                           Metropolitian
Time_taken (min)                   32.000000
Name: 32709, dtype: object
