ID                                    0xabbe
Delivery_person_ID             HYDRES20DEL02
Delivery_person_Age                21.000000
Delivery_person_Ratings             4.200000
Restaurant_latitude                17.483216
Restaurant_longitude               78.552111
Delivery_location_latitude         17.503216
Delivery_location_longitude        78.572111
Order_Date                        15-03-2022
Time_Orderd                             9:60
Time_Order_picked                      10:15
Weather conditions                Sandstorms
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   16.000000
Name: 10648, dtype: object
