ID                                       0x9cc1
Delivery_person_ID               INDORES13DEL02
Delivery_person_Age                   36.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   22.745049
Restaurant_longitude                  75.892471
Delivery_location_latitude            22.765049
Delivery_location_longitude           75.912471
Order_Date                           15-03-2022
Time_Orderd                               11:30
Time_Order_picked                         11:35
Weather conditions                       Cloudy
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      30.000000
Name: 41205, dtype: object
