ID                                        0xda8
Delivery_person_ID                JAPRES02DEL02
Delivery_person_Age                   21.000000
Delivery_person_Ratings                4.500000
Restaurant_latitude                   26.914142
Restaurant_longitude                  75.805704
Delivery_location_latitude            26.934142
Delivery_location_longitude           75.825704
Order_Date                           07-03-2022
Time_Orderd                               10:60
Time_Order_picked                         11:05
Weather conditions                       Cloudy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      18.000000
Name: 7006, dtype: object
