ID                                        0xc73
Delivery_person_ID                SURRES16DEL03
Delivery_person_Age                   21.000000
Delivery_person_Ratings                4.200000
Restaurant_latitude                   21.160437
Restaurant_longitude                  72.774209
Delivery_location_latitude            21.250437
Delivery_location_longitude           72.864209
Order_Date                           14-03-2022
Time_Orderd                               19:60
Time_Order_picked                         20:15
Weather conditions                          Fog
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      43.000000
Name: 40314, dtype: object
