ID                                       0xd0a6
Delivery_person_ID               AURGRES13DEL01
Delivery_person_Age                   35.000000
Delivery_person_Ratings                4.300000
Restaurant_latitude                   19.880256
Restaurant_longitude                  75.323503
Delivery_location_latitude            19.950256
Delivery_location_longitude           75.393503
Order_Date                           16-02-2022
Time_Orderd                               20:10
Time_Order_picked                         20:25
Weather conditions                        Windy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      39.000000
Name: 6920, dtype: object
