ID                                    0xc19a
Delivery_person_ID             BHPRES17DEL02
Delivery_person_Age                34.000000
Delivery_person_Ratings             3.800000
Restaurant_latitude                23.218998
Restaurant_longitude               77.373573
Delivery_location_latitude         23.348998
Delivery_location_longitude        77.503573
Order_Date                        12-02-2022
Time_Orderd                            19:35
Time_Order_picked                      19:40
Weather conditions                     Windy
Road_traffic_density                     Jam
Vehicle_condition                          2
Type_of_order                           Meal
Type_of_vehicle                      scooter
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   44.000000
Name: 606, dtype: object
