ID                                     0x5cb
Delivery_person_ID             MUMRES09DEL02
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                18.994049
Restaurant_longitude               72.825203
Delivery_location_latitude         19.014049
Delivery_location_longitude        72.845203
Order_Date                        30-03-2022
Time_Orderd                              NaN
Time_Order_picked                       9:35
Weather conditions                     Sunny
Road_traffic_density                     Low
Vehicle_condition                          1
Type_of_order                          Snack
Type_of_vehicle                      scooter
multiple_deliveries                 0.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   18.000000
Name: 16787, dtype: object
