ID                                       0x8e5e
Delivery_person_ID              COIMBRES01DEL01
Delivery_person_Age                   33.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   11.016298
Restaurant_longitude                  76.972076
Delivery_location_latitude            11.056298
Delivery_location_longitude           77.012076
Order_Date                           30-03-2022
Time_Orderd                               16:45
Time_Order_picked                         16:55
Weather conditions                        Sunny
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      24.000000
Name: 20039, dtype: object
