ID                                      0x9f2e
Delivery_person_ID             COIMBRES17DEL03
Delivery_person_Age                  30.000000
Delivery_person_Ratings               4.000000
Restaurant_latitude                  11.026117
Restaurant_longitude                 76.944652
Delivery_location_latitude           11.086117
Delivery_location_longitude          77.004652
Order_Date                          11-03-2022
Time_Orderd                              23:25
Time_Order_picked                        23:40
Weather conditions                      Stormy
Road_traffic_density                       Low
Vehicle_condition                            0
Type_of_order                           Drinks
Type_of_vehicle                     motorcycle
multiple_deliveries                   0.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     24.000000
Name: 15561, dtype: object
