ID                                      0x1acb
Delivery_person_ID             COIMBRES14DEL03
Delivery_person_Age                  39.000000
Delivery_person_Ratings               4.800000
Restaurant_latitude                  11.003681
Restaurant_longitude                 76.975525
Delivery_location_latitude           11.093681
Delivery_location_longitude          77.065525
Order_Date                          14-03-2022
Time_Orderd                              22:60
Time_Order_picked                        23:10
Weather conditions                         Fog
Road_traffic_density                       Low
Vehicle_condition                            0
Type_of_order                            Snack
Type_of_vehicle                     motorcycle
multiple_deliveries                   3.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     44.000000
Name: 11565, dtype: object
