ID                                      0x29fa
Delivery_person_ID             COIMBRES04DEL01
Delivery_person_Age                  39.000000
Delivery_person_Ratings               4.000000
Restaurant_latitude                  11.024839
Restaurant_longitude                 77.007003
Delivery_location_latitude           11.064839
Delivery_location_longitude          77.047003
Order_Date                          17-03-2022
Time_Orderd                              12:55
Time_Order_picked                        12:60
Weather conditions                  Sandstorms
Road_traffic_density                      High
Vehicle_condition                            0
Type_of_order                           Buffet
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     35.000000
Name: 35890, dtype: object
