ID                                    0x36ef
Delivery_person_ID             VADRES03DEL02
Delivery_person_Age                    29.00
Delivery_person_Ratings                 4.90
Restaurant_latitude                    22.32
Restaurant_longitude                   73.17
Delivery_location_latitude             22.37
Delivery_location_longitude            73.22
Order_Date                        09-03-2022
Time_Orderd                            20:10
Time_Order_picked                      20:20
Weather conditions                Sandstorms
Road_traffic_density                     Jam
Vehicle_condition                          1
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                     1.00
Festival                                  No
City                                   Urban
Time_taken (min)                       15.00
Name: 11143, dtype: object
