ID                                    0x3c8d
Delivery_person_ID             MYSRES12DEL01
Delivery_person_Age                29.000000
Delivery_person_Ratings             4.100000
Restaurant_latitude                12.284747
Restaurant_longitude               76.625861
Delivery_location_latitude         12.324747
Delivery_location_longitude        76.665861
Order_Date                        26-03-2022
Time_Orderd                            14:25
Time_Order_picked                      14:35
Weather conditions                       Fog
Road_traffic_density                    High
Vehicle_condition                          2
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   34.000000
Name: 6475, dtype: object
