ID                                       0xd2e2
Delivery_person_ID                KOCRES14DEL03
Delivery_person_Age                   36.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   10.027014
Restaurant_longitude                  76.308053
Delivery_location_latitude            10.117014
Delivery_location_longitude           76.398053
Order_Date                           16-02-2022
Time_Orderd                               18:10
Time_Order_picked                         18:20
Weather conditions                       Cloudy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      36.000000
Name: 27383, dtype: object
