ID                                       0x25ba
Delivery_person_ID               INDORES03DEL02
Delivery_person_Age                   21.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   22.751857
Restaurant_longitude                  75.866699
Delivery_location_latitude            22.881857
Delivery_location_longitude           75.996699
Order_Date                           25-03-2022
Time_Orderd                               18:50
Time_Order_picked                         18:60
Weather conditions                        Sunny
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      15.000000
Name: 296, dtype: object
