ID                                    0xab38
Delivery_person_ID             MYSRES03DEL01
Delivery_person_Age                39.000000
Delivery_person_Ratings             4.900000
Restaurant_latitude                12.299524
Restaurant_longitude               76.642620
Delivery_location_latitude         12.369524
Delivery_location_longitude        76.712620
Order_Date                        18-03-2022
Time_Orderd                            21:55
Time_Order_picked                      21:60
Weather conditions                    Stormy
Road_traffic_density                     Jam
Vehicle_condition                          0
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 2.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   35.000000
Name: 38594, dtype: object
