ID                                       0xbb9d
Delivery_person_ID                VADRES07DEL01
Delivery_person_Age                       38.00
Delivery_person_Ratings                    4.20
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.11
Delivery_location_longitude                0.11
Order_Date                           14-03-2022
Time_Orderd                               21:35
Time_Order_picked                         21:50
Weather conditions                          Fog
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                        0.00
Festival                                     No
City                              Metropolitian
Time_taken (min)                          35.00
Name: 378, dtype: object
